CLIENT_ID,CLIENT_TYPE
ID063527,Business
ID951225,Onetime
ID655745,Business
ID381194,Retirement
ID660862,Onetime
ID575620,Onetime
ID024460,Business
ID790244,Healthy
ID026785,Business
ID224820,Business
ID449728,Retirement
ID635844,Healthy
ID695679,Onetime
ID187106,Onetime
ID159407,Healthy
ID974473,Business
ID480696,Onetime
ID192486,Business
ID917843,Onetime
ID628893,Business
ID062317,Healthy
ID040802,Onetime
ID574867,Onetime
ID609959,Onetime
ID688221,Retirement
ID334254,Retirement
ID424937,Onetime
ID882988,Retirement
ID832951,Healthy
ID713496,Business
ID137092,Onetime
ID207970,Onetime
ID535300,Healthy
ID539466,Retirement
ID151134,Healthy
ID247332,Retirement
ID521904,Onetime
ID697557,Retirement
ID375289,Onetime
ID640505,Retirement
ID507526,Retirement
ID669178,Onetime
ID111406,Onetime
ID153337,Onetime
ID746338,Healthy
ID463676,Onetime
ID771614,Onetime
ID796089,Retirement
ID726113,Onetime
ID857910,Healthy
ID555560,Onetime
ID714530,Onetime
ID803676,Business
ID228711,Healthy
ID338235,Business
ID101568,Business
ID726863,Retirement
ID823880,Onetime
ID284727,Onetime
ID561238,Healthy
ID550988,Healthy
ID935632,Onetime
ID417632,Onetime
ID383804,Business
ID300798,Business
ID497160,Retirement
ID206865,Onetime
ID476654,Onetime
ID928215,Onetime
ID390382,Onetime
ID726669,Business
ID777032,Onetime
ID530077,Business
ID073475,Onetime
ID571201,Healthy
ID262061,Business
ID907901,Business
ID715399,Business
ID312823,Onetime
ID457243,Onetime
ID632333,Healthy
ID114188,Business
ID860841,Healthy
ID457391,Business
ID380649,Healthy
ID330660,Retirement
ID733623,Retirement
ID551819,Healthy
ID213465,Onetime
ID083006,Business
ID816646,Business
ID369229,Business
ID626455,Onetime
ID836740,Business
ID167243,Onetime
ID517068,Retirement
ID459830,Onetime
ID241388,Retirement
ID723513,Onetime
ID772525,Retirement
ID715045,Onetime
ID336537,Business
ID576735,Healthy
ID303035,Onetime
ID462355,Business
ID168618,Healthy
ID719129,Onetime
ID579354,Retirement
ID793788,Onetime
ID508574,Business
ID125987,Retirement
ID414101,Onetime
ID789630,Onetime
ID078965,Onetime
ID694052,Onetime
